timestamp,open,high,low,close,volume
2018-08-15,3.7500,3.7500,3.5300,3.7500,2090
2018-08-14,3.2700,3.8500,3.0000,3.8500,36990
2018-08-13,3.4200,3.5700,3.4000,3.4200,6603
2018-08-10,3.4935,3.4935,3.3300,3.4300,486
2018-08-09,3.7500,3.7500,3.2401,3.3000,34990
2018-08-08,4.0000,4.0000,3.8000,3.8000,23630
2018-08-07,4.0000,4.0000,3.9050,3.9050,30604
2018-08-06,4.1400,4.1800,3.9800,3.9800,6767
2018-08-03,4.0336,4.1800,3.9866,4.0000,48069
2018-08-02,4.3000,4.3000,3.9968,3.9968,6676
2018-08-01,4.2913,4.3501,4.1659,4.2500,13943
2018-07-31,3.7500,4.1639,3.7500,4.0000,16421
2018-07-30,4.1000,4.2500,3.9600,4.0059,43695
2018-07-27,4.0000,4.3995,3.9500,4.0500,285420
